index,edit_classification,decision_rationale,elapsed_time_ms
0,LOW,"The only change is capitalizing the word 'login' to 'Login' in the step description, which is purely a textual correction and does not alter the system's behavior or functionality.",2516
1,LOW,"The change only capitalizes the word 'logout' to 'Logout', which is a purely cosmetic text modification that doesn't alter the system's behavior or functionality. This is a typical example of a syntactic edit focusing on text formatting.",4969
2,LOW,"The change only capitalizes the word 'Permissoes' from 'permissoes', which is a purely syntactic edit that doesn't alter the system's behavior or functionality. This is merely a text formatting change.",3988
3,LOW,"The change only capitalizes the word 'Permissoes' in the post-condition text, which is a purely syntactic modification that doesn't alter the system's behavior or requirements. It's merely a formatting change.",2895
4,LOW,"The change only involves capitalization modifications ('perfis de competencias' to 'Perfis de Competencias'), which is a formatting change that doesn't alter the system's behavior or functionality. This is purely a syntactic edit.",2258
5,LOW,"The changes are purely syntactic: capitalizing terms ('Perfis de Competencias') and expanding the description slightly ('Novo Perfil' to 'Novo Perfil de Competencias'). The core functionality, flow steps, actors, and alternative flows remain unchanged. These modifications only improve readability without altering the system's behavior.",3486
6,HIGH,"The change removes one of the exception flow references (ef[1,2,3] to ef[1,2]), which modifies the system's error handling behavior by eliminating a possible exception path. Removing an exception flow reference is a semantic change that affects the system's expected behavior.",2197
7,HIGH,"The updated snippet adds an exception flow reference 'ef[3]' that wasn't present in the original, which introduces new behavior handling by linking to an exception case. Adding exception handling paths changes the system's behavioral logic, making this a semantic change rather than just a textual update.",2896
8,LOW,"The change only capitalizes 'Perfis' in the text description, which is a minor textual modification that doesn't alter the system's behavior or functionality. This is purely a formatting change.",2006
9,LOW,"The changes are purely syntactic, involving only capitalization modifications in the terms 'Perfis de Competencias'. The system's behavior, flow, and functionality remain exactly the same, making this a low-impact change.",2731
10,LOW,"The changes are purely textual in nature, where 'Perfil' was expanded to 'Perfil de Competencias' in both the exception name and error message. This clarification doesn't alter the system's behavior or logic, as it's still handling the same error scenario in the same way, just with more specific terminology.",2711
11,LOW,"The changes are purely syntactic: (1) the exception name was expanded from 'Erro ao Editar Perfil' to 'Erro ao Editar Perfil de Competencias', and (2) the error message text was updated to include 'Perfil de Competencias' instead of just 'perfil'. These modifications don't alter the system's behavior or logic - they only provide more specific terminology while maintaining the same functional outcome.",3159
12,LOW,"The change only involves adding more specific terminology ('Perfil' to 'Perfil de Competencias') without altering the system's behavior or functionality. The core action and error handling remain the same, making this a syntactic rather than semantic change.",3092
13,LOW,The change only involves capitalizing 'Perfis de Competencias' in the postCondition statement. This is purely a formatting/stylistic change that doesn't alter the system's behavior or functional requirements.,2159
14,HIGH,"This is a high-impact change as it introduces an entirely new use case 'RF007 - Gerenciar Avaliacoes' that didn't exist before (original snippet was empty). The new use case defines complete new functionality including basic flow, multiple alternative flows, and exception flows, introducing new system behavior for managing evaluations, which represents a significant functional addition to the system.",3908
15,HIGH,"The change modifies the permission from managing 'perfis de competencias' (competency profiles) to managing 'Periodos Avaliativos' (evaluation periods), which represents a fundamental change in the system's authorization scope and functionality. This is a semantic change that alters what the user is allowed to do in the system, not just how it's described.",2991
16,HIGH,"This change modifies the fundamental business entity being managed from 'perfis de competencias' (competency profiles) to 'Periodos Avaliativos' (evaluation periods). This represents a semantic change as it completely alters the functionality and purpose of the use case, affecting the system's behavior and business logic, not just textual formatting or clarification.",4380
17,LOW,"The change is syntactic as it only modifies the description of step 7 from 'selecting a leader from the list' to 'informing the respective dates for the period'. The step number and actor remain the same, and the fundamental action of filling date fields is preserved. This is a clarification/rewording of the same action rather than a behavioral change.",2948
18,HIGH,"The change removes an exception flow reference (ef[3]) from the list of exception flows, reducing the number of possible exception scenarios from three to two. This modification alters the system's behavior by eliminating a previously defined error handling path, making it a semantic change.",2850
